regime,scope,system,seed,t,l1_from_matched,prior_neg,prior_neu,prior_pos,macro_f1
lodo,Finance,xlmr_dapt,s100,0.6,0.3072,0.3072,0.4476,0.2452,0.7875258567872429
lodo,Finance,xlmr_dapt,s100,0.7,0.3584,0.3004,0.4732,0.2264,0.7870424449016887
lodo,Finance,xlmr_dapt,s100,0.8,0.4096,0.2936,0.4988,0.2076,0.7860121733720021
lodo,Finance,xlmr_dapt,s100,0.9,0.4608,0.2868,0.5244,0.1888,0.7843742781587567
lodo,Finance,xlmr_dapt,s100,1.0,0.512,0.28,0.55,0.17,0.7820311571582548
lodo,Finance,xlmr_dapt,s13,0.0,0.0,0.348,0.294,0.358,0.7953457497362781
lodo,Finance,xlmr_dapt,s13,0.1,0.0512,0.3412,0.3196,0.3392,0.7961403730060207
lodo,Finance,xlmr_dapt,s13,0.2,0.1024,0.3344,0.3452,0.3204,0.7963620622803044
lodo,Finance,xlmr_dapt,s13,0.3,0.1536,0.3276,0.3708,0.3016,0.7960653962167301
lodo,Finance,xlmr_dapt,s13,0.4,0.2048,0.3208,0.3964,0.2828,0.795282846758944
lodo,Finance,xlmr_dapt,s13,0.5,0.256,0.314,0.422,0.264,0.7940278921164182
lodo,Finance,xlmr_dapt,s13,0.6,0.3072,0.3072,0.4476,0.2452,0.7922960664922999
lodo,Finance,xlmr_dapt,s13,0.7,0.3584,0.3004,0.4732,0.2264,0.7900641010355063
lodo,Finance,xlmr_dapt,s13,0.8,0.4096,0.2936,0.4988,0.2076,0.7872869174383411
lodo,Finance,xlmr_dapt,s13,0.9,0.4608,0.2868,0.5244,0.1888,0.7838917469846693
lodo,Finance,xlmr_dapt,s13,1.0,0.512,0.28,0.55,0.17,0.779767872850046
lodo,Finance,xlmr_dapt,s42,0.0,0.0,0.348,0.294,0.358,0.7729323068954822
lodo,Finance,xlmr_dapt,s42,0.1,0.0512,0.3412,0.3196,0.3392,0.7753998093360961
lodo,Finance,xlmr_dapt,s42,0.2,0.1024,0.3344,0.3452,0.3204,0.7771616956590993
lodo,Finance,xlmr_dapt,s42,0.3,0.1536,0.3276,0.3708,0.3016,0.778285068216964
lodo,Finance,xlmr_dapt,s42,0.4,0.2048,0.3208,0.3964,0.2828,0.7788116108072121
lodo,Finance,xlmr_dapt,s42,0.5,0.256,0.314,0.422,0.264,0.7787608540300323
